3<110000;1<532485
3<120000;1<541762
3<130000;1<551054
3<140000;1<560359
3<150000;1<569678
3<160000;1<579011
3<170000;1<588358
3<180000;1<597718
3<190000;1<607092
3<200000;1<616480
3<210000;1<625881
3<220000;1<635296
3<230000;1<644724
3<240000;1<654166
3<250000;1<663621
3<260000;1<673089
3<270000;1<682571
3<280000;1<692066
3<290000;1<701575
3<300000;1<711096
3<310000;1<720631
3<320000;1<730178
3<330000;1<739739
3<340000;1<749313
3<350000;1<758900
3<360000;1<768500
3<370000;1<778113
3<380000;1<787738
3<390000;1<797377
3<400000;1<807028
3<410000;1<816692
3<420000;1<826369
3<430000;1<836059
3<440000;1<845761
3<450000;1<855476
3<460000;1<865203
3<470000;1<874943
3<480000;1<884696
3<490000;1<894461
3<500000;1<904238
3<510000;1<914028
3<520000;1<923830
3<530000;1<933645
3<540000;1<943472
3<550000;1<953311
3<560000;1<963162
3<570000;1<973026
3<580000;1<982901
3<590000;1<992789
3<600000;2<002689
3<610000;2<012601
3<620000;2<022525
3<630000;2<032461
3<640000;2<042409
3<650000;2<052369
3<660000;2<062341
3<670000;2<072324
3<680000;2<082320
3<690000;2<092327
3<700000;2<102346
3<710000;2<112377
3<720000;2<122420
3<730000;2<132474
3<740000;2<142540
3<750000;2<152617
3<760000;2<162706
3<770000;2<172807
3<780000;2<182919
3<790000;2<193043
3<800000;2<203178
3<810000;2<213324
3<820000;2<223482
3<830000;2<233651
3<840000;2<243832
3<850000;2<254024
3<860000;2<264227
3<870000;2<274441
3<880000;2<284667
3<890000;2<294904
3<900000;2<305152
3<910000;2<315411
3<920000;2<325681
3<930000;2<335963
3<940000;2<346255
3<950000;2<356559
3<960000;2<366873
3<970000;2<377198
3<980000;2<387535
3<990000;2<397882
4<000000;2<408240
4<010000;2<418609
4<020000;2<428989
4<030000;2<439379
4<040000;2<449781
4<050000;2<460193
4<060000;2<470616
4<070000;2<481049
4<080000;2<491493
4<090000;2<501948
4<100000;2<512414
4<110000;2<522890
4<120000;2<533377
4<130000;2<543874
4<140000;2<554381
4<150000;2<564900
4<160000;2<575428
4<170000;2<585967
4<180000;2<596517
4<190000;2<607077
4<200000;2<617647
4<210000;2<628228
4<220000;2<638819
4<230000;2<649420
4<240000;2<660031
4<250000;2<670653
4<260000;2<681285
4<270000;2<691927
4<280000;2<702579
4<290000;2<713242
4<300000;2<723914
4<310000;2<734597
4<320000;2<745290
4<330000;2<755993
4<340000;2<766705
4<350000;2<777428
4<360000;2<788161
4<370000;2<798904
4<380000;2<809657
4<390000;2<820419
4<400000;2<831192
4<410000;2<841974
4<420000;2<852766
4<430000;2<863569
4<440000;2<874380
4<450000;2<885202
4<460000;2<896033
4<470000;2<906875
4<480000;2<917726
4<490000;2<928586
4<500000;2<939456
4<510000;2<950336
4<520000;2<961226
4<530000;2<972125
4<540000;2<983034
4<550000;2<993952
4<560000;3<004880
4<570000;3<015817
4<580000;3<026764
4<590000;3<037720
4<600000;3<048686
4<610000;3<059661
4<620000;3<070646
4<630000;3<081640
4<640000;3<092643
4<650000;3<103656
4<660000;3<114678
4<670000;3<125710
4<680000;3<136751
4<690000;3<147801
4<700000;3<158860
4<710000;3<169928
4<720000;3<181006
4<730000;3<192093
4<740000;3<203189
4<750000;3<214295
4<760000;3<225409
4<770000;3<236533
4<780000;3<247665
4<790000;3<258807
4<800000;3<269958
4<810000;3<281118
4<820000;3<292287
4<830000;3<303465
4<840000;3<314652
4<850000;3<325847
4<860000;3<337052
4<870000;3<348266
4<880000;3<359489
4<890000;3<370720
4<900000;3<381961
4<910000;3<393210
4<920000;3<404468
4<930000;3<415735
4<940000;3<427011
4<950000;3<438296
4<960000;3<449589
4<970000;3<460891
4<980000;3<472202
4<990000;3<483522
5<000000;3<494850
5<010000;3<506187
5<020000;3<517533
5<030000;3<528887
5<040000;3<540250
5<050000;3<551621
5<060000;3<563002
5<070000;3<574390
5<080000;3<585788
5<090000;3<597194
5<100000;3<608608
5<110000;3<620031
5<120000;3<631462
5<130000;3<642902
5<140000;3<654350
5<150000;3<665807
5<160000;3<677272
5<170000;3<688746
5<180000;3<700228
5<190000;3<711719
5<200000;3<723217
5<210000;3<734725
5<220000;3<746240
5<230000;3<757764
5<240000;3<769296
5<250000;3<780836
5<260000;3<792385
5<270000;3<803942
5<280000;3<815507
5<290000;3<827081
5<300000;3<838662
5<310000;3<850252
5<320000;3<861850
5<330000;3<873456
5<340000;3<885070
5<350000;3<896693
5<360000;3<908323
5<370000;3<919962
5<380000;3<931609
5<390000;3<943263
5<400000;3<954926
5<410000;3<966597
5<420000;3<978276
5<430000;3<989963
5<440000;4<001658
5<450000;4<013361
5<460000;4<025072
5<470000;4<036791
5<480000;4<048517
5<490000;4<060252
5<500000;4<071995
5<510000;4<083745
5<520000;4<095504
5<530000;4<107270
5<540000;4<119044
5<550000;4<130826
5<560000;4<142616
5<570000;4<154413
5<580000;4<166219
5<590000;4<178032
5<600000;4<189853
5<610000;4<201682
5<620000;4<213518
5<630000;4<225362
5<640000;4<237214
5<650000;4<249074
5<660000;4<260941
5<670000;4<272816
5<680000;4<284699
5<690000;4<296589
5<700000;4<308487
5<710000;4<320392
5<720000;4<332305
5<730000;4<344226
5<740000;4<356154
5<750000;4<368090
5<760000;4<380034
5<770000;4<391984
5<780000;4<403943
5<790000;4<415909
5<800000;4<427882
5<810000;4<439863
5<820000;4<451852
5<830000;4<463848
5<840000;4<475851
5<850000;4<487862
5<860000;4<499880
5<870000;4<511906
5<880000;4<523939
5<890000;4<535979
5<900000;4<548027
5<910000;4<560082
5<920000;4<572145
5<930000;4<584214
5<940000;4<596291
5<950000;4<608376
5<960000;4<620468
5<970000;4<632567
5<980000;4<644673
5<990000;4<656787
6<000000;4<668908
6<010000;4<681036
6<020000;4<693171
6<030000;4<705313
6<040000;4<717463
6<050000;4<729620
6<060000;4<741784
6<070000;4<753955
6<080000;4<766134
6<090000;4<778319
6<100000;4<790512
6<110000;4<802712
6<120000;4<814919
6<130000;4<827133
6<140000;4<839354
6<150000;4<851582
6<160000;4<863817
6<170000;4<876059
6<180000;4<888309
6<190000;4<900565
6<200000;4<912828
6<210000;4<925099
6<220000;4<937376
6<230000;4<949661
6<240000;4<961952
6<250000;4<974250
6<260000;4<986555
6<270000;4<998867
6<280000;5<011187
6<290000;5<023513
6<300000;5<035845
6<310000;5<048185
6<320000;5<060532
6<330000;5<072885
6<340000;5<085246
6<350000;5<097613
6<360000;5<109987
6<370000;5<122368
6<380000;5<134756
6<390000;5<147150
6<400000;5<159552
6<410000;5<171960
6<420000;5<184375
6<430000;5<196797
6<440000;5<209225
6<450000;5<221660
6<460000;5<234102
6<470000;5<246551
6<480000;5<259006
6<490000;5<271468
6<500000;5<283937
6<510000;5<296412
6<520000;5<308894
6<530000;5<321383
6<540000;5<333878
6<550000;5<346381
6<560000;5<358889
6<570000;5<371404
6<580000;5<383926
6<590000;5<396455
6<600000;5<408990
6<610000;5<421532
6<620000;5<434080
6<630000;5<446635
6<640000;5<459196
6<650000;5<471764
6<660000;5<484338
6<670000;5<496919
6<680000;5<509507
6<690000;5<522101
6<700000;5<534701
6<710000;5<547308
6<720000;5<559922
6<730000;5<572541
6<740000;5<585168
6<750000;5<597800
6<760000;5<610440
6<770000;5<623085
6<780000;5<635737
6<790000;5<648396
6<800000;5<661061
6<810000;5<673732
6<820000;5<686409
6<830000;5<699093
6<840000;5<711784
6<850000;5<724480
6<860000;5<737183
6<870000;5<749893
6<880000;5<762608
6<890000;5<775330
6<900000;5<788059
6<910000;5<800793
6<920000;5<813534
6<930000;5<826281
6<940000;5<839035
6<950000;5<851794
6<960000;5<864560
6<970000;5<877332
6<980000;5<890111
6<990000;5<902895
7<000000;5<915686
7<010000;5<928483
7<020000;5<941287
7<030000;5<954096
7<040000;5<966912
7<050000;5<979733
7<060000;5<992561
7<070000;6<005395
7<080000;6<018235
7<090000;6<031082
7<100000;6<043934
7<110000;6<056793
7<120000;6<069658
7<130000;6<082528
7<140000;6<095405
7<150000;6<108288
7<160000;6<121177
7<170000;6<134072
7<180000;6<146974
7<190000;6<159881
7<200000;6<172794
7<210000;6<185713
7<220000;6<198639
7<230000;6<211570
7<240000;6<224507
7<250000;6<237451
7<260000;6<250400
7<270000;6<263355
7<280000;6<276316
7<290000;6<289284
7<300000;6<302257
7<310000;6<315236
7<320000;6<328221
7<330000;6<341212
7<340000;6<354209
7<350000;6<367212
7<360000;6<380221
7<370000;6<393235
7<380000;6<406256
7<390000;6<419282
7<400000;6<432315
7<410000;6<445353
7<420000;6<458397
7<430000;6<471447
7<440000;6<484503
7<450000;6<497564
7<460000;6<510632
7<470000;6<523705
7<480000;6<536784
7<490000;6<549869
